// Scales: drowsiness_asic/quant_conv3/Conv2D;drowsiness_asic/quant_conv3/LastValueQuant/FakeQuantWithMinMaxVarsPerChannel
// real_value = scale[ch] * int8_value  (zero_point=0 untuk weight)

// ch,  scale_f32,             scale_Q8.24
   0,  0.000619002851,  00002891  // zp=0
   1,  0.000824215473,  00003604  // zp=0
   2,  0.000917456113,  00003C20  // zp=0
   3,  0.000677659933,  00002C69  // zp=0
   4,  0.000893489807,  00003A8E  // zp=0
   5,  0.000770666753,  00003282  // zp=0
   6,  0.000704289181,  00002E28  // zp=0
   7,  0.000499969407,  000020C4  // zp=0
   8,  0.000722764002,  00002F5E  // zp=0
   9,  0.000470273080,  00001ED2  // zp=0
  10,  0.000606177666,  000027BA  // zp=0
  11,  0.000857035513,  0000382B  // zp=0
  12,  0.000762220705,  000031F4  // zp=0
  13,  0.000672674854,  00002C16  // zp=0
  14,  0.000787704135,  0000339F  // zp=0
  15,  0.000848776544,  000037A0  // zp=0
  16,  0.000533748127,  000022FB  // zp=0
  17,  0.000440664036,  00001CE1  // zp=0
  18,  0.000656836724,  00002B0C  // zp=0
  19,  0.000491359737,  00002034  // zp=0
  20,  0.000760376221,  000031D5  // zp=0
  21,  0.000671515532,  00002C02  // zp=0
  22,  0.000473636988,  00001F0A  // zp=0
  23,  0.000678285025,  00002C74  // zp=0
  24,  0.000409886910,  00001ADD  // zp=0
  25,  0.000464783894,  00001E76  // zp=0
  26,  0.000618218561,  00002884  // zp=0
  27,  0.000661340717,  00002B57  // zp=0
  28,  0.001156270620,  00004BC7  // zp=0
  29,  0.000684049970,  00002CD4  // zp=0
  30,  0.000592223310,  000026D0  // zp=0
  31,  0.000818613858,  000035A6  // zp=0
  32,  0.000861358247,  00003873  // zp=0
  33,  0.000856070255,  0000381A  // zp=0
  34,  0.000845252944,  00003765  // zp=0
  35,  0.000730714470,  00002FE3  // zp=0
  36,  0.000455892296,  00001DE1  // zp=0
  37,  0.001109999488,  000048BF  // zp=0
  38,  0.000490773527,  0000202A  // zp=0
  39,  0.000844315335,  00003755  // zp=0
  40,  0.001117585110,  0000493E  // zp=0
  41,  0.000648155285,  00002A7A  // zp=0
  42,  0.000732970831,  00003009  // zp=0
  43,  0.001168579445,  00004C96  // zp=0
  44,  0.000606622430,  000027C1  // zp=0
  45,  0.000544823881,  000023B5  // zp=0
  46,  0.000586847775,  00002676  // zp=0
  47,  0.000666730106,  00002BB2  // zp=0
  48,  0.000421586941,  00001BA1  // zp=0
  49,  0.000556604238,  0000247A  // zp=0
  50,  0.000879028754,  0000399C  // zp=0
  51,  0.001340539893,  000057DB  // zp=0
  52,  0.001083696727,  00004705  // zp=0
  53,  0.000683470804,  00002CCB  // zp=0
  54,  0.000767961610,  00003254  // zp=0
  55,  0.001257515512,  0000526A  // zp=0
  56,  0.000744458404,  000030CA  // zp=0
  57,  0.000460673647,  00001E31  // zp=0
  58,  0.000666613923,  00002BB0  // zp=0
  59,  0.000541769958,  00002381  // zp=0
  60,  0.000654571806,  00002AE6  // zp=0
  61,  0.000445929734,  00001D39  // zp=0
  62,  0.000619020138,  00002891  // zp=0
  63,  0.000621472311,  000028BB  // zp=0
  64,  0.000832855760,  00003695  // zp=0
  65,  0.000798482099,  00003454  // zp=0
  66,  0.001380525180,  00005A79  // zp=0
  67,  0.000745240250,  000030D7  // zp=0
  68,  0.000781834009,  0000333D  // zp=0
  69,  0.000601439853,  0000276A  // zp=0
  70,  0.000667822373,  00002BC4  // zp=0
  71,  0.000924829161,  00003C9C  // zp=0
  72,  0.000593030534,  000026DD  // zp=0
  73,  0.001191745512,  00004E1A  // zp=0
  74,  0.001140160253,  00004AB9  // zp=0
  75,  0.000521344133,  0000222B  // zp=0
  76,  0.000575541460,  000025B8  // zp=0
  77,  0.000551171775,  0000241F  // zp=0
  78,  0.000711927016,  00002EA8  // zp=0
  79,  0.000635749660,  000029AA  // zp=0
  80,  0.000949152512,  00003E34  // zp=0
  81,  0.000746703183,  000030F0  // zp=0
  82,  0.000543547561,  0000239F  // zp=0
  83,  0.000807754754,  000034F0  // zp=0
  84,  0.000788514793,  000033AD  // zp=0
  85,  0.000478451082,  00001F5B  // zp=0
  86,  0.001039407915,  0000441E  // zp=0
  87,  0.000645219989,  00002A49  // zp=0
  88,  0.000911148498,  00003BB7  // zp=0
  89,  0.000342031854,  0000166A  // zp=0
  90,  0.000655580428,  00002AF7  // zp=0
  91,  0.000679633347,  00002C8A  // zp=0
  92,  0.000654537813,  00002AE5  // zp=0
  93,  0.000675154792,  00002C3F  // zp=0
  94,  0.000578494219,  000025EA  // zp=0
  95,  0.000962759892,  00003F18  // zp=0
  96,  0.000580265711,  00002607  // zp=0
  97,  0.000492035761,  0000203F  // zp=0
  98,  0.000810395810,  0000351C  // zp=0
  99,  0.001354720793,  000058C8  // zp=0
 100,  0.001037032693,  000043F7  // zp=0
 101,  0.000623523199,  000028DD  // zp=0
 102,  0.000875104684,  0000395A  // zp=0
 103,  0.000551176490,  0000241F  // zp=0
 104,  0.000702438818,  00002E09  // zp=0
 105,  0.000679904071,  00002C8F  // zp=0
 106,  0.000762684096,  000031FC  // zp=0
