// Bias: tfl.pseudo_qconst
// Shape: [128], int32

// idx,  decimal,       hex_32bit
    0,        -13262,  FFFFCC32
    1,        -12938,  FFFFCD76
    2,        -20161,  FFFFB13F
    3,         70924,  0001150C
    4,         -4378,  FFFFEEE6
    5,        -15123,  FFFFC4ED
    6,          1399,  00000577
    7,        -46578,  FFFF4A0E
    8,        -17097,  FFFFBD37
    9,         -7743,  FFFFE1C1
   10,        -26982,  FFFF969A
   11,        -40274,  FFFF62AE
   12,         68194,  00010A62
   13,        -19649,  FFFFB33F
   14,        -39518,  FFFF65A2
   15,        -21209,  FFFFAD27
   16,        -96264,  FFFE87F8
   17,         -3009,  FFFFF43F
   18,        -17479,  FFFFBBB9
   19,         -6069,  FFFFE84B
   20,        -20037,  FFFFB1BB
   21,         -3203,  FFFFF37D
   22,        -56326,  FFFF23FA
   23,        -21896,  FFFFAA78
   24,        -67216,  FFFEF970
   25,        -54028,  FFFF2CF4
   26,         38405,  00009605
   27,        -88059,  FFFEA805
   28,         -3178,  FFFFF396
   29,        -56039,  FFFF2519
   30,        -20451,  FFFFB01D
   31,        -28585,  FFFF9057
   32,         51999,  0000CB1F
   33,        105325,  00019B6D
   34,           497,  000001F1
   35,          6963,  00001B33
   36,        -21345,  FFFFAC9F
   37,        -28592,  FFFF9050
   38,       -116439,  FFFE3929
   39,         -6918,  FFFFE4FA
   40,        -83041,  FFFEBB9F
   41,        -82437,  FFFEBDFB
   42,         29471,  0000731F
   43,        -30836,  FFFF878C
   44,        -18173,  FFFFB903
   45,        -21698,  FFFFAB3E
   46,            42,  0000002A
   47,         -9841,  FFFFD98F
   48,        -19405,  FFFFB433
   49,        -24960,  FFFF9E80
   50,       -109717,  FFFE536B
   51,         -8388,  FFFFDF3C
   52,        -44969,  FFFF5057
   53,        -54867,  FFFF29AD
   54,         -8705,  FFFFDDFF
   55,        -21634,  FFFFAB7E
   56,        -59733,  FFFF16AB
   57,        -28162,  FFFF91FE
   58,        -10100,  FFFFD88C
   59,         38143,  000094FF
   60,        -86592,  FFFEADC0
   61,        -25856,  FFFF9B00
   62,        -21622,  FFFFAB8A
   63,        -12604,  FFFFCEC4
   64,         24864,  00006120
   65,          2461,  0000099D
   66,        -22251,  FFFFA915
   67,         10726,  000029E6
   68,        -32388,  FFFF817C
   69,         -3256,  FFFFF348
   70,        -18877,  FFFFB643
   71,        -67122,  FFFEF9CE
   72,        -25442,  FFFF9C9E
   73,        -26086,  FFFF9A1A
   74,        144500,  00023474
   75,          4247,  00001097
   76,          6093,  000017CD
   77,        -53409,  FFFF2F5F
   78,         34404,  00008664
   79,        -45413,  FFFF4E9B
   80,         66370,  00010342
   81,        -77556,  FFFED10C
   82,        -67521,  FFFEF83F
   83,        -27545,  FFFF9467
   84,         25007,  000061AF
   85,        -99648,  FFFE7AC0
   86,         -2444,  FFFFF674
   87,         40362,  00009DAA
   88,        -17959,  FFFFB9D9
   89,         -2455,  FFFFF669
   90,        -30209,  FFFF89FF
   91,         47275,  0000B8AB
   92,        -80082,  FFFEC72E
   93,        -21809,  FFFFAACF
   94,          4731,  0000127B
   95,         30169,  000075D9
   96,        -16668,  FFFFBEE4
   97,         15748,  00003D84
   98,         14431,  0000385F
   99,        -59078,  FFFF193A
  100,        -16770,  FFFFBE7E
  101,        -65688,  FFFEFF68
  102,        -92270,  FFFE9792
  103,         -5340,  FFFFEB24
  104,        -16625,  FFFFBF0F
  105,          -287,  FFFFFEE1
  106,        -14725,  FFFFC67B
  107,        -70240,  FFFEEDA0
  108,        -15661,  FFFFC2D3
  109,         -1307,  FFFFFAE5
  110,        -22188,  FFFFA954
  111,         -8062,  FFFFE082
  112,       -113096,  FFFE4638
  113,         -6770,  FFFFE58E
  114,         -7910,  FFFFE11A
  115,        -65393,  FFFF008F
  116,         -3583,  FFFFF201
  117,        -62463,  FFFF0C01
  118,         -3657,  FFFFF1B7
  119,         41878,  0000A396
  120,        -26664,  FFFF97D8
  121,        -13093,  FFFFCCDB
  122,         18770,  00004952
  123,        -12614,  FFFFCEBA
  124,         63864,  0000F978
  125,        -13086,  FFFFCCE2
  126,         11943,  00002EA7
  127,        -90558,  FFFE9E42
