// Bias: tfl.pseudo_qconst2
// Shape: [64], int32

// idx,  decimal,       hex_32bit
    0,          8984,  00002318
    1,          4825,  000012D9
    2,         27086,  000069CE
    3,         -1363,  FFFFFAAD
    4,        -18347,  FFFFB855
    5,         -4729,  FFFFED87
    6,          2099,  00000833
    7,         32008,  00007D08
    8,         16444,  0000403C
    9,         25773,  000064AD
   10,         12927,  0000327F
   11,         -4128,  FFFFEFE0
   12,         -4712,  FFFFED98
   13,         24615,  00006027
   14,        -25622,  FFFF9BEA
   15,         -8877,  FFFFDD53
   16,         15493,  00003C85
   17,         14569,  000038E9
   18,         25240,  00006298
   19,         29671,  000073E7
   20,          8497,  00002131
   21,            70,  00000046
   22,           668,  0000029C
   23,          7644,  00001DDC
   24,         24235,  00005EAB
   25,         -1589,  FFFFF9CB
   26,        -71901,  FFFEE723
   27,          -338,  FFFFFEAE
   28,         22781,  000058FD
   29,         -8967,  FFFFDCF9
   30,         11074,  00002B42
   31,         16051,  00003EB3
   32,         -4181,  FFFFEFAB
   33,         10350,  0000286E
   34,          7274,  00001C6A
   35,         10911,  00002A9F
   36,         14710,  00003976
   37,         19502,  00004C2E
   38,          3490,  00000DA2
   39,          8491,  0000212B
   40,         30331,  0000767B
   41,         -5914,  FFFFE8E6
   42,         10974,  00002ADE
   43,         58098,  0000E2F2
   44,          8749,  0000222D
   45,          8830,  0000227E
   46,         52982,  0000CEF6
   47,         12317,  0000301D
   48,         14628,  00003924
   49,         -3118,  FFFFF3D2
   50,         16247,  00003F77
   51,          8830,  0000227E
   52,         39548,  00009A7C
   53,         18644,  000048D4
   54,         -1093,  FFFFFBBB
   55,          9579,  0000256B
   56,         58547,  0000E4B3
   57,         -5173,  FFFFEBCB
   58,        -38236,  FFFF6AA4
   59,          8487,  00002127
   60,          2170,  0000087A
   61,          3151,  00000C4F
   62,          -605,  FFFFFDA3
   63,          3976,  00000F88
