// Scales: tfl.pseudo_qconst4
// real_value = scale[ch] * int8_value  (zero_point=0 untuk weight)

// ch,  scale_f32,             scale_Q8.24
   0,  0.003050236264,  0000C7E6  // zp=0
   1,  0.001620749827,  00006A38  // zp=0
   2,  0.003307037987,  0000D8BB  // zp=0
   3,  0.002641201951,  0000AD18  // zp=0
   4,  0.002175961854,  00008E9B  // zp=0
   5,  0.002527271630,  0000A5A1  // zp=0
   6,  0.001603238634,  00006912  // zp=0
   7,  0.002438555239,  00009FD0  // zp=0
   8,  0.002192210872,  00008FAB  // zp=0
   9,  0.002344031353,  0000999E  // zp=0
  10,  0.001634722808,  00006B22  // zp=0
  11,  0.002672949573,  0000AF2D  // zp=0
  12,  0.002224758500,  000091CD  // zp=0
  13,  0.001554132090,  000065DA  // zp=0
  14,  0.002160244854,  00008D93  // zp=0
  15,  0.002517001471,  0000A4F4  // zp=0
  16,  0.002092613839,  00008924  // zp=0
  17,  0.002964176936,  0000C243  // zp=0
  18,  0.001617892995,  00006A08  // zp=0
  19,  0.002414035611,  00009E35  // zp=0
  20,  0.002021949273,  00008483  // zp=0
  21,  0.002016646788,  0000842A  // zp=0
  22,  0.001684233430,  00006E61  // zp=0
  23,  0.002453826601,  0000A0D0  // zp=0
  24,  0.002816172782,  0000B890  // zp=0
  25,  0.003127221949,  0000CCF2  // zp=0
  26,  0.002397692995,  00009D23  // zp=0
  27,  0.002822410082,  0000B8F8  // zp=0
  28,  0.001551619614,  000065B0  // zp=0
  29,  0.002049684757,  00008654  // zp=0
  30,  0.002759742551,  0000B4DD  // zp=0
  31,  0.002095249481,  00008950  // zp=0
