frame,cap_read,face_detect,landmark,preprocess,inference,postprocess,render,total_ms,ai_ms,ai_pct
0,669.6670,1780.3142,18.0963,0.0064,0.0011,0.0012,60.8472,2528.9334,18.1050,0.7159
2,14.3635,15.7452,5.2858,0.0076,0.0009,0.0018,1.2115,36.6163,5.2961,14.4638
4,15.0120,12.1394,5.2076,0.0029,0.0023,0.0010,1.2281,33.5933,5.2138,15.5204
6,14.6968,11.1093,4.2125,0.0047,0.0006,0.0008,1.8217,31.8464,4.2186,13.2467
8,14.2615,14.3974,4.3179,0.0066,0.0009,0.0008,1.2676,34.2527,4.3262,12.6302
10,14.6660,14.2135,3.4086,0.0022,0.0005,0.0007,1.1203,33.4118,3.4120,10.2120
12,16.4160,11.0873,3.7126,0.0029,0.0007,0.0010,1.1905,32.4110,3.7172,11.4689
14,13.9801,12.3469,3.9578,0.0025,0.0006,0.0009,1.2860,31.5748,3.9618,12.5473
16,14.2789,10.3841,3.8388,0.0026,0.0011,0.0008,1.1507,29.6570,3.8433,12.9592
18,14.7561,12.4075,4.3693,0.0040,0.0009,0.0012,1.1921,32.7311,4.3754,13.3677
20,14.7617,16.7174,4.3668,0.0017,0.0006,0.0006,1.1445,36.9933,4.3697,11.8121
22,2.5507,13.8266,3.8275,0.0033,0.0009,0.0007,1.2757,21.4854,3.8324,17.8372
24,2.0378,13.6916,3.9223,0.0060,0.0009,0.0009,1.6966,21.3561,3.9301,18.4027
26,1.6533,14.4314,3.6854,0.0034,0.0010,0.0009,1.1984,20.9738,3.6907,17.5967
28,2.5127,14.7365,4.4323,0.0033,0.0006,0.0008,1.1416,22.8278,4.4370,19.4368
30,1.8630,9.4110,3.8162,0.0034,0.0007,0.0008,1.1197,16.2148,3.8211,23.5655
32,2.5295,12.8506,3.9804,0.0024,0.0006,0.0010,0.9901,20.3546,3.9844,19.5749
34,1.6310,12.2961,3.5498,0.0029,0.0006,0.0006,1.0380,18.5190,3.5539,19.1906
36,2.3883,18.8629,3.5913,0.0039,0.0011,0.0011,1.2382,26.0868,3.5974,13.7901
38,1.5451,13.7799,3.4886,0.0029,0.0007,0.0010,1.1786,19.9968,3.4932,17.4688
40,1.5431,9.3859,3.1136,0.0013,0.0006,0.0007,0.7906,14.8358,3.1162,21.0046
42,2.2055,11.7460,3.8972,0.0027,0.0009,0.0007,1.0685,18.9215,3.9015,20.6194
44,2.9809,10.3109,3.4472,0.0021,0.0010,0.0007,1.0279,17.7707,3.4510,19.4196
46,2.2785,14.4902,3.4594,0.0034,0.0008,0.0011,1.2505,21.4839,3.4647,16.1270
48,3.2061,13.3627,3.7623,0.0025,0.0010,0.0007,1.0609,21.3962,3.7665,17.6036
50,1.8347,12.3298,12.2808,8.0682,0.9777,0.1740,3.5742,39.2394,21.5007,54.7937
52,2.0198,15.0102,5.2258,0.0116,0.0007,0.0008,1.7166,23.9855,5.2389,21.8419
54,3.9858,19.8016,11.2013,0.7716,0.2995,0.6297,1.9227,38.6122,12.9021,33.4146
56,1.9189,11.4075,6.0713,0.6431,0.1949,0.1221,1.1777,21.5355,7.0314,32.6503
58,3.5350,16.6005,6.0558,0.7312,0.1712,0.0923,1.3077,28.4937,7.0505,24.7441
60,2.9454,17.0063,5.7673,0.6606,0.1617,0.1418,1.1446,27.8277,6.7314,24.1896
62,2.7390,13.1170,5.7287,0.8918,0.2506,0.1100,1.2440,24.0811,6.9811,28.9900
64,1.5092,11.1020,5.4686,0.8740,0.2431,0.1465,1.5567,20.9001,6.7322,32.2113
66,2.6015,19.7373,5.5575,1.7096,0.2057,0.2076,2.8473,32.8665,7.6804,23.3685
68,2.1129,16.7575,5.6502,0.6473,0.2415,0.0979,2.7698,28.2771,6.6369,23.4709
70,2.2696,10.9603,4.3632,0.0084,0.0007,0.0009,1.5678,19.1709,4.3732,22.8117
72,2.3034,12.9088,7.9481,0.5477,0.1396,0.0913,1.3972,25.3361,8.7267,34.4437
74,1.4360,11.2001,5.3525,0.5348,0.1386,0.0900,1.4545,20.2065,6.1159,30.2670
76,1.7904,12.9930,5.0422,0.5567,0.2361,0.0891,1.0024,21.7099,5.9241,27.2876
78,1.8059,9.6214,5.1878,0.5609,0.2057,0.0912,1.0591,18.5320,6.0456,32.6225
80,2.2982,9.8661,6.3251,0.8762,0.2183,0.1457,1.0214,20.7510,7.5653,36.4575
82,2.2052,11.3482,5.5182,0.6148,0.1367,0.0929,1.0356,20.9516,6.3626,30.3681
84,1.9519,14.5372,5.3295,0.5820,0.2164,0.1055,1.5181,24.2406,6.2334,25.7147
86,1.8924,12.0456,6.3688,0.5298,0.1297,0.0686,1.2847,22.3196,7.0969,31.7967
